variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_19083	1.00E-02	5.62E-01	5.73E-01	-9.85E-02	1.75E-01	3.27E-02	bad-chisq
group_19076	1.00E-02	5.62E-01	6.01E-01	-9.17E-02	1.75E-01	3.03E-02	bad-chisq
group_19071	1.00E-02	5.62E-01	6.64E-01	-7.80E-02	1.79E-01	2.52E-02	bad-chisq
group_19070	1.00E-02	5.62E-01	6.64E-01	-7.80E-02	1.79E-01	2.52E-02	bad-chisq
group_19063	1.00E-02	5.62E-01	5.73E-01	-9.85E-02	1.75E-01	3.27E-02	bad-chisq
group_19061	1.00E-02	5.62E-01	5.73E-01	-9.85E-02	1.75E-01	3.27E-02	bad-chisq
group_19058	1.00E-02	5.62E-01	5.58E-01	-1.02E-01	1.74E-01	3.40E-02	bad-chisq
group_19055	1.00E-02	5.62E-01	5.94E-01	-9.33E-02	1.75E-01	3.09E-02	bad-chisq
group_19052	1.00E-02	5.62E-01	5.90E-01	-9.46E-02	1.75E-01	3.13E-02	bad-chisq
group_19022	1.00E-02	5.62E-01	5.73E-01	-9.85E-02	1.75E-01	3.27E-02	bad-chisq
group_19021	1.00E-02	5.62E-01	5.73E-01	-9.85E-02	1.75E-01	3.27E-02	bad-chisq
group_19018	1.00E-02	5.62E-01	5.58E-01	-1.02E-01	1.74E-01	3.40E-02	bad-chisq
group_19006	1.00E-02	5.62E-01	5.83E-01	-9.59E-02	1.75E-01	3.18E-02	bad-chisq
group_19005	1.00E-02	1.76E-01	1.95E-01	2.26E-01	1.74E-01	7.51E-02	bad-chisq
group_19003	1.00E-02	1.76E-01	1.76E-01	2.36E-01	1.74E-01	7.83E-02	bad-chisq
group_18990	1.00E-02	5.62E-01	5.52E-01	-1.04E-01	1.74E-01	3.45E-02	bad-chisq
group_18965	1.00E-02	1.77E-07	1.11E-07	9.07E-01	1.67E-01	3.01E-01	bad-chisq
group_18964	1.00E-02	1.77E-07	1.11E-07	9.07E-01	1.67E-01	3.01E-01	bad-chisq
group_18960	1.00E-02	5.62E-01	5.73E-01	-9.85E-02	1.75E-01	3.27E-02	bad-chisq
group_18958	1.00E-02	5.62E-01	5.73E-01	-9.85E-02	1.75E-01	3.27E-02	bad-chisq
group_18950	1.00E-02	1.76E-01	1.63E-01	2.44E-01	1.74E-01	8.08E-02	bad-chisq
group_18949	1.00E-02	5.62E-01	5.58E-01	-1.02E-01	1.74E-01	3.40E-02	bad-chisq
group_18948	1.00E-02	5.62E-01	5.58E-01	-1.02E-01	1.74E-01	3.40E-02	bad-chisq
