variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_23431	9.90E-01	5.62E-01	6.57E-01	8.01E-02	1.80E-01	2.57E-02	bad-chisq
group_19611	9.90E-01	5.62E-01	6.26E-01	8.65E-02	1.78E-01	2.82E-02	bad-chisq
group_18707	9.90E-01	5.62E-01	5.81E-01	9.64E-02	1.75E-01	3.20E-02	bad-chisq
group_18083	9.90E-01	5.62E-01	5.81E-01	9.64E-02	1.75E-01	3.20E-02	bad-chisq
group_17930	9.90E-01	5.62E-01	5.81E-01	9.64E-02	1.75E-01	3.20E-02	bad-chisq
group_17625	9.90E-01	5.62E-01	5.91E-01	9.41E-02	1.75E-01	3.12E-02	bad-chisq
group_17242	9.90E-01	5.62E-01	6.00E-01	9.20E-02	1.75E-01	3.04E-02	bad-chisq
group_17214	9.90E-01	5.62E-01	6.04E-01	9.14E-02	1.76E-01	3.01E-02	bad-chisq
group_17100	9.90E-01	5.62E-01	5.90E-01	9.42E-02	1.75E-01	3.12E-02	bad-chisq
group_17061	9.90E-01	5.62E-01	6.18E-01	8.80E-02	1.76E-01	2.89E-02	bad-chisq
group_17018	9.90E-01	5.62E-01	5.90E-01	9.42E-02	1.75E-01	3.12E-02	bad-chisq
group_16982	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_16969	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_16904	9.90E-01	5.62E-01	6.36E-01	8.50E-02	1.79E-01	2.74E-02	bad-chisq
group_16895	9.90E-01	5.62E-01	5.90E-01	9.42E-02	1.75E-01	3.12E-02	bad-chisq
group_16633	9.90E-01	5.62E-01	5.97E-01	9.30E-02	1.76E-01	3.07E-02	bad-chisq
group_16627	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_16570	9.90E-01	5.62E-01	5.34E-01	1.09E-01	1.75E-01	3.60E-02	bad-chisq
group_16419	9.90E-01	1.76E-01	1.84E-01	-2.32E-01	1.74E-01	7.70E-02	bad-chisq
group_16398	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.75E-01	3.38E-02	bad-chisq
group_16238	9.90E-01	5.62E-01	5.85E-01	9.55E-02	1.75E-01	3.16E-02	bad-chisq
group_16220	9.90E-01	5.62E-01	5.59E-01	1.02E-01	1.75E-01	3.39E-02	bad-chisq
group_16156	9.90E-01	5.62E-01	5.73E-01	9.84E-02	1.75E-01	3.26E-02	bad-chisq
group_16135	9.90E-01	5.62E-01	6.14E-01	8.87E-02	1.76E-01	2.92E-02	bad-chisq
group_15851	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.75E-01	3.38E-02	bad-chisq
group_15825	9.90E-01	5.62E-01	5.81E-01	9.71E-02	1.76E-01	3.20E-02	bad-chisq
group_15699	9.90E-01	5.62E-01	5.95E-01	9.45E-02	1.78E-01	3.08E-02	bad-chisq
group_15650	9.90E-01	5.62E-01	5.63E-01	1.01E-01	1.75E-01	3.35E-02	bad-chisq
group_15576	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_15531	9.90E-01	5.62E-01	5.53E-01	1.03E-01	1.74E-01	3.43E-02	bad-chisq
group_15367	9.90E-01	5.62E-01	6.27E-01	8.63E-02	1.78E-01	2.81E-02	bad-chisq
group_15270	9.90E-01	5.62E-01	5.95E-01	9.45E-02	1.78E-01	3.08E-02	bad-chisq
group_15258	9.90E-01	5.62E-01	5.46E-01	1.05E-01	1.74E-01	3.50E-02	bad-chisq
group_15242	9.90E-01	5.62E-01	5.87E-01	9.55E-02	1.76E-01	3.15E-02	bad-chisq
group_15215	9.90E-01	5.62E-01	5.92E-01	9.42E-02	1.76E-01	3.11E-02	bad-chisq
group_15128	9.90E-01	5.62E-01	5.96E-01	9.32E-02	1.75E-01	3.07E-02	bad-chisq
group_15121	9.90E-01	5.62E-01	5.64E-01	1.01E-01	1.74E-01	3.34E-02	bad-chisq
group_15034	9.90E-01	5.62E-01	5.66E-01	1.01E-01	1.75E-01	3.33E-02	bad-chisq
group_14989	9.90E-01	5.62E-01	6.64E-01	7.81E-02	1.79E-01	2.52E-02	bad-chisq
group_14979	9.90E-01	5.62E-01	5.49E-01	1.05E-01	1.74E-01	3.47E-02	bad-chisq
group_14940	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.75E-01	3.38E-02	bad-chisq
group_14935	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.75E-01	3.38E-02	bad-chisq
group_14915	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_14878	9.90E-01	5.62E-01	5.88E-01	9.53E-02	1.76E-01	3.14E-02	bad-chisq
group_14873	9.90E-01	5.62E-01	5.47E-01	1.05E-01	1.74E-01	3.49E-02	bad-chisq
group_14775	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_14729	9.90E-01	5.62E-01	6.05E-01	9.08E-02	1.76E-01	3.00E-02	bad-chisq
group_14727	9.90E-01	5.62E-01	5.58E-01	1.02E-01	1.75E-01	3.40E-02	bad-chisq
group_14584	9.90E-01	5.62E-01	6.08E-01	9.01E-02	1.75E-01	2.98E-02	bad-chisq
group_14518	9.90E-01	5.62E-01	5.95E-01	9.45E-02	1.78E-01	3.08E-02	bad-chisq
group_14480	9.90E-01	5.62E-01	5.64E-01	1.01E-01	1.74E-01	3.34E-02	bad-chisq
group_14387	9.90E-01	5.62E-01	5.51E-01	1.04E-01	1.74E-01	3.45E-02	bad-chisq
group_14229	9.90E-01	5.62E-01	5.95E-01	9.45E-02	1.78E-01	3.08E-02	bad-chisq
group_14128	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.74E-01	3.38E-02	bad-chisq
group_14088	9.90E-01	5.62E-01	5.64E-01	1.01E-01	1.75E-01	3.34E-02	bad-chisq
group_14082	9.90E-01	1.76E-01	1.76E-01	-2.36E-01	1.74E-01	7.83E-02	bad-chisq
group_14059	9.90E-01	1.76E-01	1.82E-01	-2.33E-01	1.74E-01	7.73E-02	bad-chisq
group_13916	9.90E-01	5.62E-01	5.67E-01	9.99E-02	1.74E-01	3.32E-02	bad-chisq
group_13844	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.75E-01	3.38E-02	bad-chisq
group_13808	9.90E-01	5.62E-01	5.45E-01	1.06E-01	1.74E-01	3.51E-02	bad-chisq
group_13798	9.90E-01	5.62E-01	6.25E-01	8.62E-02	1.76E-01	2.83E-02	bad-chisq
group_13784	9.90E-01	5.62E-01	6.13E-01	8.88E-02	1.75E-01	2.93E-02	bad-chisq
group_13774	9.90E-01	5.62E-01	5.62E-01	1.01E-01	1.75E-01	3.36E-02	bad-chisq
group_13758	9.90E-01	5.62E-01	5.75E-01	9.80E-02	1.74E-01	3.25E-02	bad-chisq
group_13731	9.90E-01	5.62E-01	5.49E-01	1.05E-01	1.74E-01	3.47E-02	bad-chisq
group_13583	9.90E-01	5.62E-01	5.80E-01	9.67E-02	1.75E-01	3.21E-02	bad-chisq
group_13564	9.90E-01	5.62E-01	5.38E-01	1.08E-01	1.75E-01	3.57E-02	bad-chisq
group_13463	9.90E-01	5.62E-01	5.76E-01	9.79E-02	1.75E-01	3.24E-02	bad-chisq
group_13371	9.90E-01	5.62E-01	5.76E-01	9.79E-02	1.75E-01	3.24E-02	bad-chisq
group_13358	9.90E-01	1.01E-03	1.04E-03	-5.69E-01	1.72E-01	1.88E-01	bad-chisq
group_13302	9.90E-01	5.62E-01	5.88E-01	9.50E-02	1.75E-01	3.14E-02	bad-chisq
group_13261	9.90E-01	5.62E-01	5.52E-01	1.04E-01	1.75E-01	3.45E-02	bad-chisq
group_13253	9.90E-01	5.62E-01	6.10E-01	8.95E-02	1.75E-01	2.96E-02	bad-chisq
group_13038	9.90E-01	5.62E-01	5.80E-01	9.89E-02	1.79E-01	3.20E-02	bad-chisq
group_13006	9.90E-01	1.76E-01	1.66E-01	-2.42E-01	1.74E-01	8.01E-02	bad-chisq
group_12996	9.90E-01	5.62E-01	5.58E-01	1.02E-01	1.74E-01	3.39E-02	bad-chisq
group_12964	9.90E-01	5.62E-01	5.66E-01	1.00E-01	1.75E-01	3.32E-02	bad-chisq
group_12878	9.90E-01	5.62E-01	5.59E-01	1.02E-01	1.74E-01	3.39E-02	bad-chisq
group_12861	9.90E-01	5.62E-01	6.19E-01	8.84E-02	1.78E-01	2.88E-02	bad-chisq
group_12859	9.90E-01	1.76E-01	1.99E-01	-2.25E-01	1.74E-01	7.44E-02	bad-chisq
group_12822	9.90E-01	5.62E-01	5.32E-01	1.09E-01	1.75E-01	3.62E-02	bad-chisq
group_12711	9.90E-01	5.62E-01	5.47E-01	1.05E-01	1.74E-01	3.49E-02	bad-chisq
group_12700	9.90E-01	5.62E-01	5.46E-01	1.05E-01	1.74E-01	3.50E-02	bad-chisq
group_12678	9.90E-01	5.62E-01	5.41E-01	1.07E-01	1.74E-01	3.54E-02	bad-chisq
group_12653	9.90E-01	5.62E-01	5.55E-01	1.03E-01	1.75E-01	3.42E-02	bad-chisq
group_12636	9.90E-01	5.62E-01	5.47E-01	1.05E-01	1.74E-01	3.49E-02	bad-chisq
group_12609	9.90E-01	5.62E-01	5.89E-01	9.45E-02	1.75E-01	3.13E-02	bad-chisq
group_12596	9.90E-01	5.62E-01	5.48E-01	1.05E-01	1.74E-01	3.48E-02	bad-chisq
group_12592	9.90E-01	5.62E-01	5.51E-01	1.04E-01	1.74E-01	3.46E-02	bad-chisq
group_12568	9.90E-01	5.62E-01	5.44E-01	1.06E-01	1.74E-01	3.52E-02	bad-chisq
group_12464	9.90E-01	5.62E-01	5.69E-01	9.94E-02	1.74E-01	3.30E-02	bad-chisq
group_12463	9.90E-01	5.62E-01	5.58E-01	1.02E-01	1.74E-01	3.39E-02	bad-chisq
group_12337	9.90E-01	1.76E-01	1.69E-01	-2.40E-01	1.74E-01	7.96E-02	bad-chisq
group_12165	9.90E-01	5.62E-01	6.06E-01	9.14E-02	1.77E-01	2.99E-02	bad-chisq
group_12121	9.90E-01	5.62E-01	5.32E-01	1.09E-01	1.75E-01	3.62E-02	bad-chisq
group_12095	9.90E-01	5.62E-01	5.49E-01	1.05E-01	1.74E-01	3.47E-02	bad-chisq
group_12086	9.90E-01	5.62E-01	5.87E-01	9.56E-02	1.76E-01	3.15E-02	bad-chisq
group_12057	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_11733	9.90E-01	5.62E-01	6.01E-01	9.15E-02	1.75E-01	3.03E-02	bad-chisq
group_11632	9.90E-01	1.76E-01	1.83E-01	-2.32E-01	1.74E-01	7.71E-02	bad-chisq
group_11508	9.90E-01	1.76E-01	1.89E-01	-2.29E-01	1.74E-01	7.61E-02	bad-chisq
group_11444	9.90E-01	5.62E-01	6.06E-01	9.14E-02	1.77E-01	2.99E-02	bad-chisq
group_11357	9.90E-01	5.62E-01	6.34E-01	8.42E-02	1.76E-01	2.76E-02	bad-chisq
group_11158	9.90E-01	5.62E-01	5.63E-01	1.01E-01	1.74E-01	3.36E-02	bad-chisq
group_11072	9.90E-01	5.62E-01	5.49E-01	1.04E-01	1.74E-01	3.47E-02	bad-chisq
group_11068	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_10900	9.90E-01	5.62E-01	6.11E-01	8.96E-02	1.76E-01	2.95E-02	bad-chisq
group_10704	9.90E-01	5.62E-01	5.54E-01	1.03E-01	1.74E-01	3.43E-02	bad-chisq
group_10630	9.90E-01	1.76E-01	1.72E-01	-2.38E-01	1.74E-01	7.91E-02	bad-chisq
group_10498	9.90E-01	5.62E-01	6.35E-01	8.37E-02	1.76E-01	2.75E-02	bad-chisq
group_10494	9.90E-01	5.62E-01	5.67E-01	1.00E-01	1.75E-01	3.32E-02	bad-chisq
group_10491	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_10193	9.90E-01	5.62E-01	5.93E-01	9.38E-02	1.75E-01	3.10E-02	bad-chisq
group_9993	9.90E-01	5.62E-01	5.86E-01	9.58E-02	1.76E-01	3.16E-02	bad-chisq
group_9846	9.90E-01	5.62E-01	5.69E-01	9.97E-02	1.75E-01	3.30E-02	bad-chisq
group_9710	9.90E-01	5.62E-01	6.10E-01	8.95E-02	1.75E-01	2.96E-02	bad-chisq
group_9654	9.90E-01	5.62E-01	5.42E-01	1.07E-01	1.75E-01	3.53E-02	bad-chisq
group_9453	9.90E-01	5.62E-01	5.89E-01	9.61E-02	1.78E-01	3.13E-02	bad-chisq
group_9353	9.90E-01	5.62E-01	5.34E-01	1.09E-01	1.75E-01	3.60E-02	bad-chisq
group_9155	9.90E-01	1.01E-03	8.84E-04	-5.75E-01	1.71E-01	1.91E-01	bad-chisq
group_9114	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.74E-01	3.38E-02	bad-chisq
group_9045	9.90E-01	5.62E-01	5.56E-01	1.03E-01	1.75E-01	3.42E-02	bad-chisq
group_8812	9.90E-01	5.62E-01	5.43E-01	1.06E-01	1.74E-01	3.52E-02	bad-chisq
group_8771	9.90E-01	1.76E-01	1.77E-01	-2.36E-01	1.74E-01	7.82E-02	bad-chisq
group_8744	9.90E-01	5.62E-01	6.19E-01	8.74E-02	1.75E-01	2.89E-02	bad-chisq
group_8617	9.90E-01	5.62E-01	6.01E-01	9.22E-02	1.76E-01	3.03E-02	bad-chisq
group_8530	9.90E-01	5.62E-01	5.89E-01	9.45E-02	1.75E-01	3.13E-02	bad-chisq
group_8324	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.75E-01	3.38E-02	bad-chisq
group_8258	9.90E-01	1.76E-01	1.77E-01	-2.36E-01	1.74E-01	7.82E-02	bad-chisq
group_8241	9.90E-01	5.62E-01	6.06E-01	9.09E-02	1.76E-01	2.99E-02	bad-chisq
group_8057	9.90E-01	5.62E-01	5.46E-01	1.05E-01	1.74E-01	3.50E-02	bad-chisq
group_7915	9.90E-01	5.62E-01	5.32E-01	1.09E-01	1.75E-01	3.62E-02	bad-chisq
group_7862	9.90E-01	5.62E-01	6.06E-01	9.14E-02	1.77E-01	2.99E-02	bad-chisq
group_7755	9.90E-01	5.62E-01	5.38E-01	1.08E-01	1.75E-01	3.57E-02	bad-chisq
group_7720	9.90E-01	5.62E-01	5.58E-01	1.02E-01	1.74E-01	3.40E-02	bad-chisq
group_7548	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_7520	9.90E-01	5.62E-01	5.78E-01	9.73E-02	1.75E-01	3.23E-02	bad-chisq
group_6794	9.90E-01	1.76E-01	1.88E-01	-2.30E-01	1.74E-01	7.63E-02	bad-chisq
group_6587	9.90E-01	5.62E-01	5.46E-01	1.05E-01	1.74E-01	3.50E-02	bad-chisq
group_6408	9.90E-01	5.62E-01	5.93E-01	9.38E-02	1.75E-01	3.10E-02	bad-chisq
group_6052	9.90E-01	5.62E-01	6.02E-01	9.18E-02	1.76E-01	3.03E-02	bad-chisq
group_5316	9.90E-01	5.62E-01	6.04E-01	9.13E-02	1.76E-01	3.00E-02	bad-chisq
group_5301	9.90E-01	5.62E-01	6.06E-01	9.14E-02	1.77E-01	2.99E-02	bad-chisq
group_5131	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_4817	9.90E-01	5.62E-01	5.63E-01	1.01E-01	1.75E-01	3.35E-02	bad-chisq
group_4676	9.90E-01	5.62E-01	6.35E-01	8.43E-02	1.77E-01	2.75E-02	bad-chisq
group_4665	9.90E-01	5.62E-01	6.01E-01	9.22E-02	1.76E-01	3.03E-02	bad-chisq
group_4658	9.90E-01	5.62E-01	6.07E-01	9.04E-02	1.75E-01	2.98E-02	bad-chisq
group_4036	9.90E-01	5.62E-01	5.63E-01	1.01E-01	1.75E-01	3.36E-02	bad-chisq
group_2367	9.90E-01	5.62E-01	5.92E-01	9.41E-02	1.75E-01	3.11E-02	bad-chisq
group_2260	9.90E-01	5.62E-01	5.66E-01	1.00E-01	1.75E-01	3.33E-02	bad-chisq
group_2245	9.90E-01	1.76E-01	1.86E-01	-2.31E-01	1.74E-01	7.65E-02	bad-chisq
group_897	9.90E-01	5.62E-01	5.76E-01	9.76E-02	1.75E-01	3.24E-02	bad-chisq
group_777	9.90E-01	5.62E-01	5.64E-01	1.01E-01	1.75E-01	3.35E-02	bad-chisq
group_656	9.90E-01	5.62E-01	5.65E-01	1.01E-01	1.74E-01	3.34E-02	bad-chisq
group_630	9.90E-01	5.62E-01	5.34E-01	1.09E-01	1.75E-01	3.60E-02	bad-chisq
group_530	9.90E-01	5.62E-01	5.43E-01	1.06E-01	1.74E-01	3.52E-02	bad-chisq
group_251	9.90E-01	1.76E-01	1.81E-01	-2.33E-01	1.74E-01	7.74E-02	bad-chisq
group_162	9.90E-01	5.62E-01	5.51E-01	1.04E-01	1.74E-01	3.46E-02	bad-chisq
group_19180	9.87E-01	3.14E-01	2.87E-01	-1.63E-01	1.53E-01	6.16E-02	bad-chisq
group_18072	9.87E-01	5.02E-01	5.34E-01	9.46E-02	1.52E-01	3.61E-02	bad-chisq
group_17894	9.87E-01	5.02E-01	6.27E-01	8.10E-02	1.66E-01	2.82E-02	bad-chisq
group_17660	9.87E-01	3.14E-01	3.20E-01	-1.51E-01	1.51E-01	5.76E-02	bad-chisq
group_17393	9.87E-01	5.02E-01	6.27E-01	8.10E-02	1.66E-01	2.82E-02	bad-chisq
group_17163	9.87E-01	3.14E-01	3.18E-01	-1.51E-01	1.51E-01	5.78E-02	bad-chisq
group_17071	9.87E-01	5.02E-01	4.93E-01	1.04E-01	1.51E-01	3.97E-02	bad-chisq
group_16976	9.87E-01	5.02E-01	4.90E-01	1.04E-01	1.51E-01	4.00E-02	bad-chisq
group_16951	9.87E-01	5.02E-01	5.54E-01	9.15E-02	1.55E-01	3.43E-02	bad-chisq
group_16903	9.87E-01	5.02E-01	5.64E-01	8.93E-02	1.54E-01	3.35E-02	bad-chisq
group_16828	9.87E-01	5.02E-01	5.37E-01	9.39E-02	1.52E-01	3.58E-02	bad-chisq
group_16792	9.87E-01	5.02E-01	5.22E-01	9.74E-02	1.52E-01	3.71E-02	bad-chisq
group_16767	9.87E-01	5.02E-01	4.87E-01	1.05E-01	1.51E-01	4.03E-02	bad-chisq
group_16702	9.87E-01	5.02E-01	5.20E-01	9.83E-02	1.52E-01	3.73E-02	bad-chisq
group_16445	9.87E-01	5.02E-01	5.33E-01	9.45E-02	1.52E-01	3.61E-02	bad-chisq
group_16432	9.87E-01	5.02E-01	5.61E-01	8.87E-02	1.52E-01	3.37E-02	bad-chisq
group_16412	9.87E-01	5.02E-01	5.23E-01	9.80E-02	1.53E-01	3.70E-02	bad-chisq
group_16239	9.87E-01	5.02E-01	5.63E-01	8.84E-02	1.53E-01	3.35E-02	bad-chisq
group_16215	9.87E-01	5.02E-01	5.02E-01	1.02E-01	1.51E-01	3.89E-02	bad-chisq
group_16039	9.87E-01	3.14E-01	3.25E-01	-1.49E-01	1.51E-01	5.70E-02	bad-chisq
group_16038	9.87E-01	3.14E-01	3.25E-01	-1.49E-01	1.51E-01	5.70E-02	bad-chisq
group_16020	9.87E-01	5.02E-01	6.27E-01	8.10E-02	1.66E-01	2.82E-02	bad-chisq
group_15965	9.87E-01	5.02E-01	5.35E-01	9.42E-02	1.52E-01	3.60E-02	bad-chisq
group_15713	9.87E-01	5.02E-01	6.27E-01	8.10E-02	1.66E-01	2.82E-02	bad-chisq
group_15708	9.87E-01	5.02E-01	5.11E-01	1.00E-01	1.52E-01	3.81E-02	bad-chisq
group_15638	9.87E-01	5.02E-01	5.40E-01	9.35E-02	1.53E-01	3.55E-02	bad-chisq
group_15636	9.87E-01	5.02E-01	4.79E-01	1.07E-01	1.52E-01	4.10E-02	bad-chisq
group_15580	9.87E-01	5.02E-01	5.00E-01	1.02E-01	1.51E-01	3.91E-02	bad-chisq
group_15518	9.87E-01	3.14E-01	3.22E-01	-1.50E-01	1.51E-01	5.74E-02	bad-chisq
group_15343	9.87E-01	3.14E-01	3.27E-01	-1.48E-01	1.51E-01	5.67E-02	bad-chisq
group_15314	9.87E-01	3.14E-01	3.29E-01	-1.48E-01	1.51E-01	5.66E-02	bad-chisq
group_15279	9.87E-01	5.02E-01	4.93E-01	1.04E-01	1.51E-01	3.97E-02	bad-chisq
group_15223	9.87E-01	5.02E-01	4.76E-01	1.08E-01	1.52E-01	4.13E-02	bad-chisq
group_15165	9.87E-01	5.02E-01	4.97E-01	1.03E-01	1.51E-01	3.93E-02	bad-chisq
group_15085	9.87E-01	3.14E-01	3.25E-01	-1.49E-01	1.51E-01	5.70E-02	bad-chisq
group_15084	9.87E-01	3.14E-01	3.25E-01	-1.49E-01	1.51E-01	5.70E-02	bad-chisq
group_15081	9.87E-01	5.02E-01	6.27E-01	8.10E-02	1.66E-01	2.82E-02	bad-chisq
group_14896	9.87E-01	5.02E-01	5.15E-01	9.89E-02	1.52E-01	3.78E-02	bad-chisq
group_14806	9.87E-01	5.02E-01	5.56E-01	9.08E-02	1.54E-01	3.42E-02	bad-chisq
group_14705	9.87E-01	5.02E-01	5.13E-01	9.92E-02	1.51E-01	3.79E-02	bad-chisq
group_14549	9.87E-01	5.02E-01	5.18E-01	9.79E-02	1.51E-01	3.75E-02	bad-chisq
group_14359	9.87E-01	3.14E-01	3.33E-01	-1.47E-01	1.51E-01	5.61E-02	bad-chisq
group_14319	9.87E-01	5.02E-01	5.37E-01	9.45E-02	1.53E-01	3.58E-02	bad-chisq
group_14196	9.87E-01	5.02E-01	4.86E-01	1.06E-01	1.51E-01	4.04E-02	bad-chisq
group_13934	9.87E-01	3.14E-01	3.23E-01	-1.50E-01	1.51E-01	5.72E-02	bad-chisq
group_13836	9.87E-01	3.14E-01	3.01E-01	-1.57E-01	1.52E-01	5.99E-02	bad-chisq
group_13796	9.87E-01	3.14E-01	3.28E-01	-1.48E-01	1.51E-01	5.66E-02	bad-chisq
group_13710	9.87E-01	5.02E-01	6.27E-01	8.10E-02	1.66E-01	2.82E-02	bad-chisq
group_13496	9.87E-01	5.02E-01	4.73E-01	1.09E-01	1.51E-01	4.16E-02	bad-chisq
group_13456	9.87E-01	5.02E-01	6.27E-01	8.10E-02	1.66E-01	2.82E-02	bad-chisq
group_13453	9.87E-01	5.02E-01	6.11E-01	7.99E-02	1.57E-01	2.94E-02	bad-chisq
group_13450	9.87E-01	5.02E-01	5.23E-01	9.70E-02	1.52E-01	3.70E-02	bad-chisq
group_13429	9.87E-01	5.02E-01	5.15E-01	9.92E-02	1.52E-01	3.77E-02	bad-chisq
group_13420	9.87E-01	5.02E-01	4.78E-01	1.08E-01	1.51E-01	4.12E-02	bad-chisq
group_12758	9.87E-01	5.02E-01	5.29E-01	9.56E-02	1.52E-01	3.65E-02	bad-chisq
group_12663	9.87E-01	5.02E-01	4.78E-01	1.07E-01	1.51E-01	4.12E-02	bad-chisq
group_12629	9.87E-01	5.02E-01	4.83E-01	1.06E-01	1.51E-01	4.06E-02	bad-chisq
group_12551	9.87E-01	5.02E-01	5.15E-01	9.88E-02	1.52E-01	3.77E-02	bad-chisq
group_12490	9.87E-01	5.02E-01	4.72E-01	1.09E-01	1.52E-01	4.17E-02	bad-chisq
group_12475	9.87E-01	5.02E-01	5.07E-01	1.00E-01	1.51E-01	3.84E-02	bad-chisq
group_12442	9.87E-01	5.02E-01	5.01E-01	1.02E-01	1.51E-01	3.90E-02	bad-chisq
group_12422	9.87E-01	3.14E-01	3.33E-01	-1.47E-01	1.51E-01	5.61E-02	bad-chisq
group_12421	9.87E-01	5.02E-01	4.70E-01	1.10E-01	1.52E-01	4.19E-02	bad-chisq
group_12403	9.87E-01	3.14E-01	3.25E-01	-1.49E-01	1.51E-01	5.70E-02	bad-chisq
group_12292	9.87E-01	5.02E-01	5.72E-01	8.73E-02	1.54E-01	3.27E-02	bad-chisq
group_12281	9.87E-01	5.02E-01	5.50E-01	9.10E-02	1.52E-01	3.46E-02	bad-chisq
group_12190	9.87E-01	5.02E-01	4.80E-01	1.07E-01	1.51E-01	4.10E-02	bad-chisq
group_11694	9.87E-01	5.02E-01	4.88E-01	1.05E-01	1.51E-01	4.02E-02	bad-chisq
group_11577	9.87E-01	5.02E-01	6.04E-01	8.10E-02	1.56E-01	3.01E-02	bad-chisq
group_11290	9.87E-01	5.02E-01	5.03E-01	1.01E-01	1.51E-01	3.88E-02	bad-chisq
group_11069	9.87E-01	5.02E-01	4.94E-01	1.04E-01	1.51E-01	3.96E-02	bad-chisq
group_10918	9.87E-01	5.02E-01	5.26E-01	9.66E-02	1.52E-01	3.68E-02	bad-chisq
group_10894	9.87E-01	5.02E-01	5.08E-01	1.00E-01	1.51E-01	3.83E-02	bad-chisq
group_10865	9.87E-01	5.02E-01	4.83E-01	1.06E-01	1.51E-01	4.06E-02	bad-chisq
group_10378	9.87E-01	3.14E-01	3.21E-01	-1.51E-01	1.51E-01	5.75E-02	bad-chisq
group_10344	9.87E-01	5.02E-01	4.73E-01	1.09E-01	1.51E-01	4.16E-02	bad-chisq
group_10328	9.87E-01	5.02E-01	4.88E-01	1.05E-01	1.51E-01	4.02E-02	bad-chisq
group_10030	9.87E-01	5.02E-01	5.03E-01	1.02E-01	1.51E-01	3.88E-02	bad-chisq
group_9997	9.87E-01	5.02E-01	5.29E-01	9.56E-02	1.52E-01	3.65E-02	bad-chisq
group_9946	9.87E-01	5.02E-01	4.99E-01	1.02E-01	1.51E-01	3.92E-02	bad-chisq
group_9776	9.87E-01	3.14E-01	3.25E-01	-1.49E-01	1.51E-01	5.70E-02	bad-chisq
group_9694	9.87E-01	5.02E-01	5.21E-01	9.74E-02	1.52E-01	3.72E-02	bad-chisq
group_9596	9.87E-01	5.02E-01	5.68E-01	8.74E-02	1.53E-01	3.31E-02	bad-chisq
group_9454	9.87E-01	5.02E-01	5.15E-01	9.92E-02	1.52E-01	3.77E-02	bad-chisq
group_9417	9.87E-01	5.02E-01	5.18E-01	9.79E-02	1.51E-01	3.75E-02	bad-chisq
group_9407	9.87E-01	5.02E-01	4.99E-01	1.02E-01	1.51E-01	3.92E-02	bad-chisq
group_9341	9.87E-01	5.02E-01	4.98E-01	1.03E-01	1.51E-01	3.93E-02	bad-chisq
group_9254	9.87E-01	5.02E-01	5.94E-01	8.49E-02	1.59E-01	3.09E-02	bad-chisq
group_9127	9.87E-01	7.26E-03	7.82E-03	-4.01E-01	1.50E-01	1.53E-01	bad-chisq
group_8825	9.87E-01	5.02E-01	5.00E-01	1.02E-01	1.51E-01	3.91E-02	bad-chisq
group_8795	9.87E-01	5.02E-01	4.73E-01	1.09E-01	1.51E-01	4.16E-02	bad-chisq
group_8700	9.87E-01	5.02E-01	4.80E-01	1.07E-01	1.51E-01	4.09E-02	bad-chisq
group_8628	9.87E-01	3.14E-01	3.15E-01	-1.52E-01	1.51E-01	5.82E-02	bad-chisq
group_8610	9.87E-01	5.02E-01	5.27E-01	9.65E-02	1.52E-01	3.67E-02	bad-chisq
group_8583	9.87E-01	5.02E-01	5.95E-01	8.31E-02	1.56E-01	3.08E-02	bad-chisq
group_8574	9.87E-01	5.02E-01	6.06E-01	8.25E-02	1.60E-01	2.99E-02	bad-chisq
group_8524	9.87E-01	5.02E-01	5.22E-01	9.71E-02	1.52E-01	3.71E-02	bad-chisq
group_8489	9.87E-01	5.02E-01	4.95E-01	1.03E-01	1.51E-01	3.95E-02	bad-chisq
